Images,Vegan or/and  Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugar,Sodium (mg),Ingredients ,id
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American (L)**,557,36,29,33,6,860,"Chicken apple sausage, eggs, red potatoes, paprika, garlic powder, olive oil",1
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American (S)**,458,29,27,26,6,780,"Chicken apple sausage, eggs, red potatoes, paprika, garlic powder, olive oil",2
https://readyfitgo.com/assets/products/1686865395_995a5014_648b85f318a02-m.jpg,,Snack,Angry Bird Snack Tacos**??,207,24,21,3,3,230,"Ingredients: corn tortillas, chicken, lime, tomatoes, red onion, cilantro, jalapeño, salt, pepper, ",3
https://readyfitgo.com/assets/products/1685130504_995a4874_64710d085ad4a-m.jpg,Vegetarian,Snack,Asian Citrus Salad (Regular)**???,528,32,28,32,17,659,"Allergens: Mustard, Peanuts, Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, mango, red pepper, green pepper, carrots, almonds, olive oil, ginger, mustard, sesame seeds",4
https://readyfitgo.com/assets/products/1685130504_995a4874_64710d085ad4a-m.jpg,Vegetarian,Snack,Asian Citrus Salad (Side)**,302,4,22,22,16,544,"Allergens: Mustard, Peanuts, Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, mango, red pepper, green pepper, carrots, almonds, olive oil, ginger, mustard, sesame seeds",5
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Meal (L)**,340,31,45,4,2,456,"Allergens: | Ingredients for Consumer Use: Chicken breast, rice, broccoli, olive oil, garlic powder, paprika, salt, pepper",6
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Meal (S)**,303,24,45,3,2,331,"Allergens: | Ingredients for Consumer Use: Chicken breast, rice, broccoli, olive oil, garlic powder, paprika, salt, pepper",7
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon (L)**,673,42,52,33,3,530,"Allergens: Fish | Ingredients for Consumer Use: Salmon, brown rice, broccoli, citrus seasoning, salt, lemon",8
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon (S)**,475,33,43,19,3,382,"Allergens: Fish | Ingredients for Consumer Use: Salmon, brown rice, broccoli, citrus seasoning, salt, lemon",9
https://readyfitgo.com/assets/products/1655461173_basic-turkey-meal_62ac5535127c9-m.jpg,,,Basic Turkey (L)**,370,25,36,14,5,558,"green beans, red potatoes, turkey, paprika, onion powder, garlic powder, ground pepper, salt",10
https://readyfitgo.com/assets/products/1655461173_basic-turkey-meal_62ac5535127c9-m.jpg,,,Basic Turkey (S)**,302,19,34,10,5,423,"green beans, red potatoes, turkey, paprika, onion powder, garlic powder, ground pepper, salt",11
https://readyfitgo.com/assets/products/1686523361_995a0278_1_64864de161fd4-m.jpg,,,BBQ Chicken Cauliflower Pizza**,1657,90,98,102,4,2200,"Allergens: | Ingredients for Consumer Use: Cauliflower crust, chicken thighs, bbq sauce, cheese, chives, garlic powder, salt, vinegar, brown sugar, ketchup, paprika",12
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken (L)*,436,28,34,21,10,415,"Allergens: | Ingredients for Consumer Use: Chicken thighs, bbq sauce, spinach, red potatoes, paprika, garlic, salt, brown sugar, vinegar, ketchup",13
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken (S)*,340,21,31,15,8,334,"Allergens: | Ingredients for Consumer Use: Chicken thighs, bbq sauce, spinach, red potatoes, paprika, garlic, salt, brown sugar, vinegar, ketchup",14
https://readyfitgo.com/assets/products/1685646605_13-imgl3821_6478ed0dda690-m.jpg,,,Beef & Broccoli (L)*,258,30,16,9,4,305,"broccoli, steak, teriyaki sauce, garlic powder, montreal steak seasoning",15
https://readyfitgo.com/assets/products/1685646605_13-imgl3821_6478ed0dda690-m.jpg,,,Beef & Broccoli (S),234,27,10,10,0,0,"broccoli, steak, teriyaki sauce, garlic powder, montreal steak seasoning",16
https://readyfitgo.com/assets/products/1655461129_beyond-burger_62ac55094b1b7-m.jpg,Vegetarian,,Beyond Burger*,452,30,29,24,5,597,"Allergens: | Ingredients for Consumer Use: Beyond burger, red potatoes, green beans, paprika, salt",17
https://readyfitgo.com/assets/products/1655460452_bison-breakfast-1_62ac526411612-m.jpg,,Breakfast,Bison Breakfast*,486,38,25,26,6,200,"Bison, egg, Sweet Potato, olive oil, parsley, salt and pepper",18
https://readyfitgo.com/assets/products/1655460652_blackened-salmon_62ac532c6ddd4-m.jpg,,,Blackened Salmon (L)*,328,42,13,12,0,0,"Ingredients: salmon, broccoli, brown rice, lemon pepper, dill weed, lemon",19
https://readyfitgo.com/assets/products/1655460652_blackened-salmon_62ac532c6ddd4-m.jpg,,,Blackened Salmon (S)*,257,31,13,9,3,312,"Ingredients: salmon, broccoli, brown rice, lemon pepper, dill weed, lemon",20
https://readyfitgo.com/assets/products/1655461122_blueberry-greek-yogurt-parfait_62ac55026cf4b-m.jpg,Vegetarian,Breakfast and Snack,Blueberry Greek Yogurt Parfait*,326,15,44,10,30,91,"Allergens: Milk | Ingredients for Consumer Use: Non fat greek yogurt, blueberries, granola, almonds",21
https://readyfitgo.com/assets/products/1685049866_995a0824_646fd20ad4a49-m.jpg,Vegetarian,Breakfast and Snack,Blueberry Overnight Oats*,322,19,48,6,21,122,"Allergens: | Ingredients for Consumer Use: Blueberries, Strawberries, Low-Fat Greek Yogurt, Overnight Oats",22
https://readyfitgo.com/assets/products/1655460438_braised-beef-polenta_62ac52560fc8c-m.jpg,,,Braised Beef & Polenta (L)*,472,49,33,16,0,0,"Allergens: | Ingredients for Consumer Use: Beef, polenta, red wine, au jus, carrots, spinach, onions, garlic, salt, pepper",23
https://readyfitgo.com/assets/products/1655460438_braised-beef-polenta_62ac52560fc8c-m.jpg,,,Braised Beef & Polenta (S)*,421,43,33,13,0,0,"Allergens: | Ingredients for Consumer Use: Beef, polenta, red wine, au jus, carrots, spinach, onions, garlic, salt, pepper",24
https://readyfitgo.com/assets/products/1684518289_995a8455-2_6467b5917abc6-m.jpg,,Breakfast,Breakfast Burrito*,537,26,40,29,6,1409,"Allergens: Eggs, Gluten | Ingredients for Consumer Use: eggs, potatoes, cheese, meat, tortilla, jalapeño, tomatoes, onions, jalapeño, paprika, garlic, salt",25
https://readyfitgo.com/assets/products/1655461116_breakfast-tacos_62ac54fc2215b-m.jpg,,Breakfast,Breakfast Tacos (L)*,559,31,45,27,7,1410,"Allergens: Eggs | Ingredients for Consumer Use: Eggs, ground turkey, cheese, corn tortillas, paprika, cayenne, tomatoes, onion, jalapeño, garlic",26
https://readyfitgo.com/assets/products/1655461116_breakfast-tacos_62ac54fc2215b-m.jpg,,Breakfast,Breakfast Tacos (S)*,376,21,31,19,5,1003,"Allergens: Eggs | Ingredients for Consumer Use: Eggs, ground turkey, cheese, corn tortillas, paprika, cayenne, tomatoes, onion, jalapeño, garlic",27
