Images,Vegan or/and Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugars,Sodium(mg),Ingredients
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American Large,534,44,50,18,5,872,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), 
Sausage chicken apple, Egg scrambled"
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American Small,430,32,42,15,4,620,"Red Potatoes prepared* (Potatoes, Red Potato Seasoning* (Garlic Powder, Paprika, Sea Salt , Black Pepper)), 
Egg scrambled, Sausage chicken apple"
https://readyfitgo.com/assets/products/1686865395_995a5014_648b85f318a02-m.jpg,,Snack,Angry Bird Snack Tacos,360,28,42,10,1,269,"Chicken Thighs* (Chicken Thigh, Water, Onions, Cilantro leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper)), 
Tortillas, Pico de Gallo* (Red Tomatoes, Jalapeno, Cilantro fresh, Salt, Black Pepper), Lime"
https://readyfitgo.com/assets/products/1685130504_995a4874_64710d085ad4a-m.jpg,Vegan and Vegetarian,,Asian Citrus Salad,540,42,28,30,15,860,"Salad Mix* (Lettuce), Capitol Chicken* (Chicken Breast, Nola Spice Blend* (Paprika, Garlic Powder, Onion Powder, Sea Salt , Black Pepper)), Mango Salsa* (Mangos, Jalapeno, Bell Pepper ),Vinaigrette Dressing, Carrots, Almonds, Black Sesame Seed"
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Large,358,35,41,5,1,438,"Chicken, Garlic Powder, Paprika, Onion Powder, Sea Salt , Black Pepper, Parsley, Brown Rice, Broccoli"
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Small,303,26,40,4,1,309,"Brown Rice, Chicken, Garlic Powder, Paprika, Onion Powder, Sea Salt , Black Pepper, Parsley, Broccoli"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon Large,552,43,44,22,2,804,"Salmon Citrus 6oz* (Salmon, Lemon Pepper , Dried dill weed), Brown Rice, Broccoli, Lemon"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon Small,465,34,44,17,2,613,"Brown Rice, Salmon Citrus 6oz* (Salmon, Lemon Pepper , Dried dill weed), Broccoli, Lemon"
https://readyfitgo.com/assets/products/1686523361_995a0278_1_64864de161fd4-m.jpg,,,BBQ Chicken Cauliflower Pizza (2 Servings/ Amount per serving),740,58,73,32,19,1580,"Chicken Thigh, Water, Onions, Coriander leaves, Garlic, Salt & Pepper Blend* (Sea Salt , Black Pepper), 
Cauliflower Pizza Crust, Cheddar Cheese, Barbecue Sauce, Green Onions"
https://readyfitgo.com/assets/products/1655460658_bbq-chicken-1_62ac5332ee24c-m.jpg,,,BBQ Chicken Large,398,38,38,12,7,354,"BBQ Chicken* (Chicken Thigh, Barbecue Sauce), Red Potatoes prepared* (Potatoes, Red Potato Seasoning* 
(Garlic Powder, Paprika, Sea Salt , Black Pepper)), Spinach"
