Images,Vegan or/and  Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugar,Sodium (mg),Ingredients 
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American (L)**,557.00,36.00,29.00,33.00,6.00,860.00,"Chicken apple sausage, eggs, red potatoes, paprika, garlic powder, olive oil"
https://readyfitgo.com/assets/products/1655461191_all-american_62ac5547bf121-m.jpg,,Breakfast,All American (S)**,458.00,29.00,27.00,26.00,6.00,780.00,"Chicken apple sausage, eggs, red potatoes, paprika, garlic powder, olive oil"
https://readyfitgo.com/assets/products/1686865395_995a5014_648b85f318a02-m.jpg,,Snack,Angry Bird Snack Tacos**??,207.00,24.00,21.00,3.00,3.00,230.00,"Ingredients: corn tortillas, chicken, lime, tomatoes, red onion, cilantro, jalapeño, salt, pepper, "
https://readyfitgo.com/assets/products/1685130504_995a4874_64710d085ad4a-m.jpg,Vegetarian,Snack,Asian Citrus Salad (Regular)**???,528.00,32.00,28.00,32.00,17.00,659.00,"Allergens: Mustard, Peanuts, Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, mango, red pepper, green pepper, carrots, almonds, olive oil, ginger, mustard, sesame seeds"
https://readyfitgo.com/assets/products/1685130504_995a4874_64710d085ad4a-m.jpg,Vegetarian,Snack,Asian Citrus Salad (Side)**,302.00,4.00,22.00,22.00,16.00,544.00,"Allergens: Mustard, Peanuts, Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, mango, red pepper, green pepper, carrots, almonds, olive oil, ginger, mustard, sesame seeds"
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Meal (L)**,340.00,31.00,45.00,4.00,2.00,456.00,"Allergens: | Ingredients for Consumer Use: Chicken breast, rice, broccoli, olive oil, garlic powder, paprika, salt, pepper"
https://readyfitgo.com/assets/products/1655461179_basic-chicken-meal_62ac553b4a436-m.jpg,,,Basic Chicken Meal (S)**,303.00,24.00,45.00,3.00,2.00,331.00,"Allergens: | Ingredients for Consumer Use: Chicken breast, rice, broccoli, olive oil, garlic powder, paprika, salt, pepper"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon (L)**,673.00,42.00,52.00,33.00,3.00,530.00,"Allergens: Fish | Ingredients for Consumer Use: Salmon, brown rice, broccoli, citrus seasoning, salt, lemon"
https://readyfitgo.com/assets/products/1655460940_the-basic-meal-salmon-2_62ac544cd190d-m.jpg,,,Basic Salmon (S)**,475.00,33.00,43.00,19.00,3.00,382.00,"Allergens: Fish | Ingredients for Consumer Use: Salmon, brown rice, broccoli, citrus seasoning, salt, lemon"
https://readyfitgo.com/assets/products/1655461173_basic-turkey-meal_62ac5535127c9-m.jpg,,,Basic Turkey (L)**,370.00,25.00,36.00,14.00,5.00,558.00,"green beans, red potatoes, turkey, paprika, onion powder, garlic powder, ground pepper, salt"
