Vegan or/and  Vegetarian,Meal Type,Menu Item,Calories,Protein,Carbs,Fat,Sugar,Sodium (mg),Ingredients 
,Breakfast,All American (L)**,557,36,29,33,6,860,"Chicken apple sausage, eggs, red potatoes, paprika, garlic powder, olive oil"
,Breakfast,All American (S)**,458,29,27,26,6,780,"Chicken apple sausage, eggs, red potatoes, paprika, garlic powder, olive oil"
,Snack,Angry Bird Snack Tacos**??,207,24,21,3,3,230,"Ingredients: corn tortillas, chicken, lime, tomatoes, red onion, cilantro, jalapeño, salt, pepper, "
Vegetarian,Snack,Asian Citrus Salad (Regular)**???,528,32,28,32,17,659,"Allergens: Mustard, Peanuts, Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, mango, red pepper, green pepper, carrots, almonds, olive oil, ginger, mustard, sesame seeds"
Vegetarian,Snack,Asian Citrus Salad (Side)**,302,4,22,22,16,544,"Allergens: Mustard, Peanuts, Tree Nuts | Ingredients for Consumer Use: Mixed greens, chicken breast, mango, red pepper, green pepper, carrots, almonds, olive oil, ginger, mustard, sesame seeds"
,,Basic Chicken Meal (L)**,340,31,45,4,2,456,"Allergens: | Ingredients for Consumer Use: Chicken breast, rice, broccoli, olive oil, garlic powder, paprika, salt, pepper"
,,Basic Chicken Meal (S)**,303,24,45,3,2,331,"Allergens: | Ingredients for Consumer Use: Chicken breast, rice, broccoli, olive oil, garlic powder, paprika, salt, pepper"
,,Basic Salmon (L)**,673,42,52,33,3,530,"Allergens: Fish | Ingredients for Consumer Use: Salmon, brown rice, broccoli, citrus seasoning, salt, lemon"
,,Basic Salmon (S)**,475,33,43,19,3,382,"Allergens: Fish | Ingredients for Consumer Use: Salmon, brown rice, broccoli, citrus seasoning, salt, lemon"
,,Basic Turkey (L)**,370,25,36,14,5,558,"green beans, red potatoes, turkey, paprika, onion powder, garlic powder, ground pepper, salt"
,,Basic Turkey (S)**,302,19,34,10,5,423,"green beans, red potatoes, turkey, paprika, onion powder, garlic powder, ground pepper, salt"
,,BBQ Chicken Cauliflower Pizza**,1657,90,98,102,4,2200,"Allergens: | Ingredients for Consumer Use: Cauliflower crust, chicken thighs, bbq sauce, cheese, chives, garlic powder, salt, vinegar, brown sugar, ketchup, paprika"
,,BBQ Chicken (L)*,436,28,34,21,10,415,"Allergens: | Ingredients for Consumer Use: Chicken thighs, bbq sauce, spinach, red potatoes, paprika, garlic, salt, brown sugar, vinegar, ketchup"
,,BBQ Chicken (S)*,340,21,31,15,8,334,"Allergens: | Ingredients for Consumer Use: Chicken thighs, bbq sauce, spinach, red potatoes, paprika, garlic, salt, brown sugar, vinegar, ketchup"
,,Beef & Broccoli (L)*,258,30,16,9,4,305,"broccoli, steak, teriyaki sauce, garlic powder, montreal steak seasoning"
,,Beef & Broccoli (S),234,27,10,10,0,0,"broccoli, steak, teriyaki sauce, garlic powder, montreal steak seasoning"
Vegetarian,,Beyond Burger*,452,30,29,24,5,597,"Allergens: | Ingredients for Consumer Use: Beyond burger, red potatoes, green beans, paprika, salt"
,Breakfast,Bison Breakfast*,486,38,25,26,6,200,"Bison, egg, Sweet Potato, olive oil, parsley, salt and pepper"
,,Blackened Salmon (L)*,328,42,13,12,0,0,"Ingredients: salmon, broccoli, brown rice, lemon pepper, dill weed, lemon"
,,Blackened Salmon (S)*,257,31,13,9,3,312,"Ingredients: salmon, broccoli, brown rice, lemon pepper, dill weed, lemon"
Vegetarian,Breakfast and Snack,Blueberry Greek Yogurt Parfait*,326,15,44,10,30,91,"Allergens: Milk | Ingredients for Consumer Use: Non fat greek yogurt, blueberries, granola, almonds"
Vegetarian,Breakfast and Snack,Blueberry Overnight Oats*,322,19,48,6,21,122,"Allergens: | Ingredients for Consumer Use: Blueberries, Strawberries, Low-Fat Greek Yogurt, Overnight Oats"
,,Braised Beef & Polenta (L)*,472,49,33,16,0,0,"Allergens: | Ingredients for Consumer Use: Beef, polenta, red wine, au jus, carrots, spinach, onions, garlic, salt, pepper"
,,Braised Beef & Polenta (S)*,421,43,33,13,0,0,"Allergens: | Ingredients for Consumer Use: Beef, polenta, red wine, au jus, carrots, spinach, onions, garlic, salt, pepper"
,Breakfast,Breakfast Burrito*,537,26,40,29,6,1409,"Allergens: Eggs, Gluten | Ingredients for Consumer Use: eggs, potatoes, cheese, meat, tortilla, jalapeño, tomatoes, onions, jalapeño, paprika, garlic, salt"
,Breakfast,Breakfast Tacos (L)*,559,31,45,27,7,1410,"Allergens: Eggs | Ingredients for Consumer Use: Eggs, ground turkey, cheese, corn tortillas, paprika, cayenne, tomatoes, onion, jalapeño, garlic"
,Breakfast,Breakfast Tacos (S)*,376,21,31,19,5,1003,"Allergens: Eggs | Ingredients for Consumer Use: Eggs, ground turkey, cheese, corn tortillas, paprika, cayenne, tomatoes, onion, jalapeño, garlic"
,,Buffalo Chicken (L)*,275,29,6,15,0,0,"Allergens: Milk | Ingredients for Consumer Use: Chicken thighs, Frank's buffalo sauce, cauliflower, almond milk"
,,Buffalo Chicken (S)*,182,20,3,10,0,0,"Allergens: Milk | Ingredients for Consumer Use: Chicken thighs, Frank's buffalo sauce, cauliflower, almond milk"
,Snack,Buffalo Chicken Wrap*,353,43,18,12,0,1132,"Allergens: Gluten | Ingredients for Consumer Use: Chicken thighs, Frank's buffalo sauce, spinach, ranch, garlic, salt, wheat tortilla"
,,California Chili Chicken*,361,47,18,10,5,0,"Chicken breast, Carrots, Zucchini, Red potatoes, Chicken bone broth"
,,Pepperoni Pizza*,1207,68,42,79,11,1815,"Pepperoni, Low moisture shredded mozzarella, Marinara, Cauliflower crust"
,,Chicken Alfredo (L)*,813,58,82,29,2,854,"broccoli, parmesean cheese, parsley, gluten free pasta, chicken, milk, unsalted butter, gf flour, salt, pepper, garlic powder"
,,Chicken Alfredo (S)*,631,43,64,23,1,679,"broccoli, parmesean cheese, parsley, gluten free pasta, chicken, milk, unsalted butter, gf flour, salt, pepper, garlic powder"
,Snack,Chicken Crunch Salad*,330,45,21,9,9,343,"Allergens: | Ingredients for Consumer Use: Spring Salad Mix, Chicken Breast, Celery, Almonds, Greek Yogurt, Balsamic Dressing"
,Snack,Chicken Crunch Snack*,231,28,13,7,4,178,"Chicken breast, Dried cranberries, Celery, Low fat yogurt, Carrots, Gluten-free crackers"
,,Chicken Carrot Curry (L)*,574,35,62,19,10,1769,"Chicken breast, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime"
,,Chicken Carrot Curry (S)*,490,27,52,18,10,1642,"Chicken breast, Carrots, Curry powder, Coconut milk, Tomato, Spinach, Brown rice, Lime"
,,Chicken Enchiladas*,502,43,39,19,6,615,"chicken thighs, corn tortillas, brown rice, tomatoes, onions, jalapeño, garlic, salt,"
,,Chicken Fajita Bowl (L)*,551,41,75,9,4,1147,"Allergens: Milk | Ingredients for Consumer Use: chicken breast, brown rice, black beans, green peppers, yellow peppers, red peppers, shredded cheese, tomatoes, onions, jalapeño, garlic, salt, paprika"
